strike,put_gex,put_dex,net_greek_delta,call_gex,call_dex,net_gex
7025.0,742313.6388119999,-17437971.256575,-0.009002664298401422,0.0,0.0,-742313.6388119999
7030.0,417740.647129,-17056630.675717,-0.0160442071197411,0.0,0.0,-417740.647129
7035.0,482077.24819400004,12097001.230195,0.006298996775349337,0.0,0.0,-482077.24819400004
7040.0,832660.117099,7278774.688617997,0.001916340579710145,0.0,0.0,-832660.117099
7045.0,127985.11014,3561288.9034439996,0.00556516129032258,0.0,0.0,-127985.11014
7050.0,2135287.063368,22996447.160993997,0.0022059801980198017,0.0,0.0,-2135287.063368
7055.0,40735.045807999995,1152691.7016479997,0.004167164179104477,0.0,0.0,-40735.045807999995
7060.0,1407354.547147,-4995272.610604003,-0.000676003352267437,0.0,0.0,-1407354.547147
7065.0,67364.20582100001,1775621.3801949995,0.002668562564632885,0.0,0.0,-67364.20582100001
7070.0,135347.694433,859564.5139079997,0.0006634094530005311,0.0,0.0,-135347.694433
7075.0,168376.109953,-10852586.866279997,-0.0073977485928705435,0.0,0.0,-168376.109953
7080.0,133214.609264,-1850623.4071049995,-0.0014818181818181818,0.0,0.0,-133214.609264
7085.0,26285.114018,814838.534558,0.0031,0.0,0.0,-26285.114018
7090.0,138306.48999000003,4287501.189689999,0.0031,0.0,0.0,-138306.48999000003
7095.0,22569.417272000002,868578.5189769999,0.002811358574610245,0.0,0.0,-22569.417272000002
7100.0,123512.51220499999,1184894.40678,0.0006946349334409036,0.0,0.0,-123512.51220499999
7105.0,11009.47184,676532.0445679999,0.002482828282828283,0.0,0.0,-11009.47184
7110.0,70254.192179,2493232.516566,0.002072883295194508,0.0,0.0,-70254.192179
7115.0,10734.235044000001,395928.131046,0.002591891891891892,0.0,0.0,-10734.235044000001
7120.0,5367.1175220000005,-93786.93823699997,-0.00040808383233532935,0.0,0.0,-5367.1175220000005
7125.0,2752.3679599999996,883234.8783640005,0.0005518486672398968,0.0,0.0,-2752.3679599999996
7130.0,0.0,361936.38674000005,0.002,0.0,0.0,0.0
7135.0,0.0,312324.95426100004,0.001999559471365639,0.0,0.0,0.0
7140.0,619.282791,-126746.54455799994,-0.0005433628318584068,0.0,0.0,-619.282791
7145.0,0.0,100667.858137,0.0018999999999999998,0.0,0.0,0.0
7150.0,619.282791,358908.7819839999,0.0005215999999999999,0.0,0.0,-619.282791
7155.0,0.0,550.473592,0.0008,0.0,0.0,0.0
7160.0,0.0,50093.096872,0.0008,0.0,0.0,0.0
7170.0,0.0,41285.5194,0.0017142857142857142,0.0,0.0,0.0
7175.0,5504.73592,-5193855.958918,-0.008231406761177753,0.0,0.0,-5504.73592
7180.0,0.0,38601.960639,0.0017,0.0,0.0,0.0
7190.0,0.0,14037.076595999997,0.0017,0.0,0.0,0.0
7200.0,4816.64393,-4796276.407095999,-0.004860808926080892,0.0,0.0,-4816.64393
7210.0,0.0,1100.947184,0.0016,0.0,0.0,0.0
7220.0,0.0,1444.9931789999998,0.0007,0.0,0.0,0.0
7225.0,0.0,420699.442686,0.0009583072100313478,0.0,0.0,0.0
7250.0,0.0,507674.27022199996,0.0014,0.0,0.0,0.0
7275.0,0.0,166380.643182,0.0013000000000000002,0.0,0.0,0.0
7300.0,688.09199,-992503.8863760001,-0.005505343511450382,0.0,0.0,-688.09199
7325.0,0.0,53671.17521999999,0.0011999999999999997,0.0,0.0,0.0
7350.0,0.0,35505.546684,0.0012,0.0,0.0,0.0
7375.0,275.236796,-592034.348196,-0.020985365853658535,0.0,0.0,-275.236796
7400.0,550.473592,-1191293.662287,-0.022484415584415586,0.0,0.0,-550.473592
7425.0,0.0,26835.58761,0.001,0.0,0.0,0.0
7450.0,0.0,47478.34731,0.001,0.0,0.0,0.0
7500.0,206.427597,-608273.3191600001,-0.023891891891891892,0.0,0.0,-206.427597
7600.0,0.0,13417.793805,0.0003,0.0,0.0,0.0
7800.0,0.0,4747.834730999999,0.0003,0.0,0.0,0.0
